goodinfo,condemn,qAnswered,totalCorrect,percCorrect,ansall,dowork,doromantic,doacademic,dodrugs,trustswork,trustsromantic,trustsacademic,trustsdrugs,trustgwork,trustgromantic,trustgacademic,trustgdrugs,likework,likeromantic,likeacademic,likedrugs,compq1work,compq1romantic,compq1academic,compq1drugs,compq2work,compq2romantic,compq2academic,compq2drugs,compq3work,compq3romantic,compq3academic,compq3drugs,compq4work,compq4romantic,compq4academic,compq4drugs,sumdo,sumtrusts,sumtrustg,sumlike,sumtotal,age,gender,edu,income,generaltrust,reason,previousexperience
1,1,16,16,1,1,4,2,2,2,5,3,5,5,4,4,5,5,5,3,5,5,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,5.5,4.5,4.5,4.5,4.75,47,1,6,1,5,"Tried to balance or qualify the facts and hearsay each story provided. To some extent, it seemed I was forced to accept as wholly true what another heard of a mutual acquaintance as true. The best available option in answering questions was one which remained after the others were easily dismissed for things such as stating the subject was a member of the same organization, when, according to the story, it wasn't necessarily the same organization.",3
0,0,16,16,1,1,5,4,4,5,4,4,1,5,4,5,3,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,3.5,3.5,4,4,3.75,,1,,,,,
1,1,16,16,1,1,2,1,5,3,5,6,5,5,5,5,3,3,6,7,6,4,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,5.25,5.25,4,5.75,5.0625,35,1,5,7,6,"I read carefully, and the only thing I have to go by is tyhe opionoin of others, so thats what I had to base judgements",2
0,1,16,16,1,1,4,5,4,3,4,5,4,4,4,4,4,4,4,3,4,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,4,4.25,4,3.75,4,38,1,4,7,1,I based my judgements on what little knowledge I was given of the people. There is a 50/50 chance they can be good or bad. I can't say for sure until they prove to me good or bad.,3
0,0,16,16,1,1,3,5,3,2,5,4,5,5,5,5,5,5,4,5,5,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4.75,4.75,5,4.5,4.75,24,2,5,3,5,I tried to judge the odds that a person I didn't know would perform the immoral action considering they weren't related to the person who did the immoral action in the story.,2
0,0,16,16,1,1,6,3,2,3,3,4,5,5,2,2,5,5,3,4,6,6,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4.5,4.25,3.5,4.75,4.25,,1,,,,,
1,0,4,3,0.75,0,,,3,,,,5,,,,5,,,,5,,,,2,,,,1,,,,1,,,,2,,5,5,5,5,5,,1,,,,,
1,0,16,16,1,1,2,2,3,3,6,5,3,5,5,5,3,5,5,5,4,4,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,5.5,4.75,4.5,4.5,4.8125,29,1,6,4,6,"Based on the context and what was at stake-- I feel like matters of business/work are more measurable/tangible via peer discussion / group speak than other, more subjective/social matters.",4
0,1,16,16,1,1,2,2,2,2,6,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,6,5.25,5,5,5.3125,34,2,4,5,5,gut reaction,3
0,1,4,2,0.5,0,,,,4,,,,3,,,,3,,,,3,,,,3,,,,2,,,,3,,,,1,4,3,3,3,3.25,,1,,,,,
